mean,std,feat__words__ngram_range,feat__words__use_idf,feat__char__use_idf,feat__words__min_df
0.58366920627190655,0.0027383966672821468,"(1, 5)",True,True,2
0.58479697041541445,0.0036197332831682466,"(1, 5)",False,True,2
0.58352823575396795,0.0027833820170123078,"(1, 6)",True,True,2
0.58454066038279906,0.003662977916369721,"(1, 6)",False,True,2
0.58450862162872208,0.0028739934384649879,"(1, 5)",True,True,3
0.58513658120862999,0.00318813378986409,"(1, 5)",False,True,3
0.58432920460589133,0.0029236349308111166,"(1, 6)",True,True,3
0.58493794093335294,0.0032592356463356205,"(1, 6)",False,True,3
0.58192629805012142,0.0026504115740727898,"(1, 5)",True,False,2
0.58318221720993713,0.0031233826153527718,"(1, 5)",False,False,2
0.58177891978136753,0.0030410981853035853,"(1, 6)",True,False,2
0.58295153818058321,0.0031340071085807636,"(1, 6)",False,False,2
0.58247095686942929,0.0026940531705566218,"(1, 5)",True,False,3
0.58347697374744489,0.0029638429172139111,"(1, 5)",False,False,3
0.58215697707947534,0.002664980883465326,"(1, 6)",True,False,3
0.58331037222624482,0.0028950067605319342,"(1, 6)",False,False,3
